Front,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
Where is Clear Water from?,Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer,$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp,"$12 — cocktails | rum, pineapple, coconut, ice cream","Port Aransas, TX (oyster)","Port Aransas, TX (oyster)"
Where is Key Allegro from?,$7 — beer_draught,"$9 — sushi | tempura shrimp, cucumber, avocado, crunchies","Aransas Bay, TX (oyster)","$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha","Aransas Bay, TX (oyster)"
Where is Blackjack Point from?,"$18 — sushi | spicy tuna mix, cucumber, jalapeño, yellowfin tuna, avocado",$8 — beer_draught,"Aransas Bay, TX (oyster)","$6 — soups_salads | wedge, spring, or caesar","Aransas Bay, TX (oyster)"
Where is Big Tree from?,"$18 — for_the_table | gulf boiled shrimp, red sauce, horseradish",$6 — beer_bottle,Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer,"Rockport, TX (oyster)","Rockport, TX (oyster)"
Where is Three Sisters from?,"$14 — cocktails | vodka, kahlua, cold brew",$6 — beer_bottle,New Brunswick (oyster),"Port Lavaca, TX (oyster)","Port Lavaca, TX (oyster)"
Where is Oyster Bros from?,"$6 — soups_salads | wedge, spring, or caesar","Palacios, TX (oyster)",New Brunswick (oyster),"$16 — appetizers | panko breadcrumbs, tartar sauce","Palacios, TX (oyster)"
Where is Barnstable from?,"$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise","$13 — appetizers | beer-battered, remoulade","Cape Cod, MA (oyster)","$12 — brunch_cocktails | vodka, amaretto, cherry","Cape Cod, MA (oyster)"
Where is Great White from?,$13 — appetizers | served warm with tortilla chips,$37 — mains | lemon caper beurre blanc,"Cape Cod, MA (oyster)","Port Aransas, TX (oyster)","Cape Cod, MA (oyster)"
Where is Beausoleil from?,"Rockport, TX (oyster)","$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$12 — cocktails | vodka, house made bloody mary mix",New Brunswick (oyster),New Brunswick (oyster)
Where is Sex on the Bay from?,"$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise",$13 — appetizers | served warm with tortilla chips,New Brunswick (oyster),"Rockport, TX (oyster)",New Brunswick (oyster)
Where is Cupid's Choice from?,$8 — beer_draught,"$28 — appetizers | oyster, bacon, tartar",$6 — beer_bottle,Prince Edward Island (oyster),Prince Edward Island (oyster)
Where is Savage Blonde from?,"$12 — cocktails | rum, pineapple, coconut, ice cream",Prince Edward Island (oyster),"$14 — brunch_cocktails | st germain, prosecco, mint","$11 — cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit",Prince Edward Island (oyster)
Where is Momma Mia from?,$5 — beer_bottle,"$13 — brunch_cocktails | orange liqueur, prosecco, soda","Aransas Bay, TX (oyster)",Prince Edward Island (oyster),Prince Edward Island (oyster)
Where is Pink Moon from?,"$15 — sushi | soft shell crab, carrot, green leaf, cucumber, avocado, eel sauce",Prince Edward Island (oyster),$8 — a_la_carte,"$13 — appetizers | beer-battered, remoulade",Prince Edward Island (oyster)
Happy hour time?,"Port Aransas, TX (oyster)","$22 — oysters_prepared | green onion vinaigrette, bleu cheese crumbles","$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato",Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer,Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer
Eggs Benedict,"$19 — soups_salads | corn, black beans, tortilla strips, honey chipotle vinaigrette",$8 — a_la_carte,"$8 — sushi | avocado, cream cheese, cucumber","$16 — brunch | 2 english muffins, poached eggs, canadian bacon, homemade hollandaise","$16 — brunch | 2 english muffins, poached eggs, canadian bacon, homemade hollandaise"
Eggs Orleans,"$20 — brunch | 2 english muffins, lump blue crab cakes, poached eggs, homemade hollandaise","$13 — appetizers | beer-battered, remoulade","Port Lavaca, TX (oyster)",$18 — oysters_raw,"$20 — brunch | 2 english muffins, lump blue crab cakes, poached eggs, homemade hollandaise"
Eggs Sardou,New Brunswick (oyster),"$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese","Palacios, TX (oyster)","$17 — brunch | 2 english muffins, bacon, spinach, artichoke hearts, poached eggs, hollandaise","$17 — brunch | 2 english muffins, bacon, spinach, artichoke hearts, poached eggs, hollandaise"
