timestamp,protoPayload.authenticationInfo.principalEmail,protoPayload.methodName,resource.labels.cluster_name,resource.type,labels.authorization.k8s.io/reason,protoPayload.status.code
2024-01-15T08:00:00Z,system:kube-controller-manager@k8s.io,io.k8s.coordination.v1.leases.update,red-team,k8s_lease,RBAC: allowed by ClusterRoleBinding system:kube-controller-manager,0
2024-01-15T08:00:15Z,system:kube-controller-manager@k8s.io,io.k8s.coordination.v1.leases.update,red-team,k8s_lease,RBAC: allowed by ClusterRoleBinding system:kube-controller-manager,0
2024-01-15T08:00:30Z,system:kube-controller-manager@k8s.io,io.k8s.coordination.v1.leases.update,red-team,k8s_lease,RBAC: allowed by ClusterRoleBinding system:kube-controller-manager,0
2024-01-15T08:00:45Z,system:kube-controller-manager@k8s.io,io.k8s.core.v1.configmaps.update,red-team,k8s_configmap,RBAC: allowed by ClusterRoleBinding system:kube-controller-manager,0
2024-01-15T08:01:00Z,system:kube-controller-manager@k8s.io,io.k8s.coordination.v1.leases.update,red-team,k8s_lease,RBAC: allowed by ClusterRoleBinding system:kube-controller-manager,0
2024-01-15T08:01:15Z,system:kube-scheduler@k8s.io,io.k8s.coordination.v1.leases.update,red-team,k8s_lease,RBAC: allowed by ClusterRoleBinding system:kube-scheduler,0
2024-01-15T08:01:30Z,system:kube-scheduler@k8s.io,io.k8s.core.v1.pods.create,red-team,k8s_pod,RBAC: allowed by ClusterRoleBinding system:kube-scheduler,0
2024-01-15T08:01:45Z,system:kube-controller-manager@k8s.io,io.k8s.apps.v1.deployments.update,red-team,k8s_deployment,RBAC: allowed by ClusterRoleBinding system:kube-controller-manager,0
2024-01-15T08:02:00Z,admin@strategickhaos.ai,io.k8s.core.v1.configmaps.get,red-team,k8s_configmap,RBAC: allowed by RoleBinding admin-binding,0
2024-01-15T08:02:15Z,admin@strategickhaos.ai,io.k8s.core.v1.configmaps.update,red-team,k8s_configmap,RBAC: allowed by RoleBinding admin-binding,0
