id,category,item,price,front,back,mnemonic,eru,rust_token,expected_price,actual_price,variance,compression_ratio
1,Sunday Brunch,Eggs Benedict,16,What is the price of Eggs Benedict?,$16 — Sunday Brunch,Eggs Benedict 16 — Sunday Brunch locked in the drop,PASS,eggs_benedict,16,16,0,1
2,Sunday Brunch,Eggs Orleans,20,What is the price of Eggs Orleans?,$20 — Sunday Brunch,Eggs Orleans 20 — Sunday Brunch locked in the drop,PASS,eggs_orleans,20,20,0,1
3,Sunday Brunch,Eggs Sardou,17,What is the price of Eggs Sardou?,$17 — Sunday Brunch,Eggs Sardou 17 — Sunday Brunch locked in the drop,PASS,eggs_sardou,17,17,0,1
4,Sunday Brunch,Eggs Sonesta,21,What is the price of Eggs Sonesta?,$21 — Sunday Brunch,Eggs Sonesta 21 — Sunday Brunch locked in the drop,PASS,eggs_sonesta,21,21,0,1
5,Sunday Brunch,Pain Perdu,16,What is the price of Pain Perdu?,$16 — Sunday Brunch,Pain Perdu 16 — Sunday Brunch locked in the drop,PASS,pain_perdu,16,16,0,1
6,Sunday Brunch,Ham & Cheese Omelet,17,What is the price of Ham & Cheese Omelet?,$17 — Sunday Brunch,Ham & Cheese Omelet 17 — Sunday Brunch locked in the drop,PASS,ham_and_cheese_omelet,17,17,0,0.9
7,Sunday Brunch Cocktails,Bloody Mary,12,What is the price of Bloody Mary?,$12 — Sunday Brunch Cocktails,Bloody Mary 12 — Sunday Brunch Cocktails locked in the drop,PASS,bloody_mary,12,12,0,1
8,Sunday Brunch Cocktails,Salty Dog,11,What is the price of Salty Dog?,$11 — Sunday Brunch Cocktails,Salty Dog 11 — Sunday Brunch Cocktails locked in the drop,PASS,salty_dog,11,11,0,1
9,Sunday Brunch Cocktails,Pear Martini,12,What is the price of Pear Martini?,$12 — Sunday Brunch Cocktails,Pear Martini 12 — Sunday Brunch Cocktails locked in the drop,PASS,pear_martini,12,12,0,1
10,Sunday Brunch Cocktails,Cucumber Martini,12,What is the price of Cucumber Martini?,$12 — Sunday Brunch Cocktails,Cucumber Martini 12 — Sunday Brunch Cocktails locked in the drop,PASS,cucumber_martini,12,12,0,1
11,Sunday Brunch Cocktails,Hugo Spritz,14,What is the price of Hugo Spritz?,$14 — Sunday Brunch Cocktails,Hugo Spritz 14 — Sunday Brunch Cocktails locked in the drop,PASS,hugo_spritz,14,14,0,1
12,Sunday Brunch Cocktails,Aperol Spritz,13,What is the price of Aperol Spritz?,$13 — Sunday Brunch Cocktails,Aperol Spritz 13 — Sunday Brunch Cocktails locked in the drop,PASS,aperol_spritz,13,13,0,1
13,Sunday Brunch Cocktails,French 75,14,What is the price of French 75?,$14 — Sunday Brunch Cocktails,French 75 14 — Sunday Brunch Cocktails locked in the drop,PASS,french_75,14,14,0,1
14,Sunday Brunch Cocktails,Mimosa Flight,22,What is the price of Mimosa Flight?,$22 — Sunday Brunch Cocktails,Mimosa Flight 22 — Sunday Brunch Cocktails locked in the drop,PASS,mimosa_flight,22,22,0,1
15,Sushi,Avocado Roll,8,What is the price of Avocado Roll?,$8 — Sushi,Avocado Roll 8 — Sushi locked in the drop,PASS,avocado_roll,8,8,0,1
16,Sushi,Tempura Shrimp Roll,9,What is the price of Tempura Shrimp Roll?,$9 — Sushi,Tempura Shrimp Roll 9 — Sushi locked in the drop,PASS,tempura_shrimp_roll,9,9,0,1
17,Sushi,Spicy Tuna Roll,10,What is the price of Spicy Tuna Roll?,$10 — Sushi,Spicy Tuna Roll 10 — Sushi locked in the drop,PASS,spicy_tuna_roll,10,10,0,1
18,Sushi,Tuna Roll,12,What is the price of Tuna Roll?,$12 — Sushi,Tuna Roll 12 — Sushi locked in the drop,PASS,tuna_roll,12,12,0,1
19,Sushi,Spicy Salmon Roll,12,What is the price of Spicy Salmon Roll?,$12 — Sushi,Spicy Salmon Roll 12 — Sushi locked in the drop,PASS,spicy_salmon_roll,12,12,0,1
20,Sushi,Padre Island Roll,13,What is the price of Padre Island Roll?,$13 — Sushi,Padre Island Roll 13 — Sushi locked in the drop,PASS,padre_island_roll,13,13,0,1
21,Sushi,Lucky Roll,14,What is the price of Lucky Roll?,$14 — Sushi,Lucky Roll 14 — Sushi locked in the drop,PASS,lucky_roll,14,14,0,1
22,Sushi,Spider Roll,15,What is the price of Spider Roll?,$15 — Sushi,Spider Roll 15 — Sushi locked in the drop,PASS,spider_roll,15,15,0,1
23,Sushi,Tidal Wave Roll,16,What is the price of Tidal Wave Roll?,$16 — Sushi,Tidal Wave Roll 16 — Sushi locked in the drop,PASS,tidal_wave_roll,16,16,0,1
24,Sushi,Rainbow Roll,17,What is the price of Rainbow Roll?,$17 — Sushi,Rainbow Roll 17 — Sushi locked in the drop,PASS,rainbow_roll,17,17,0,1
25,Sushi,Dragon Roll,17,What is the price of Dragon Roll?,$17 — Sushi,Dragon Roll 17 — Sushi locked in the drop,PASS,dragon_roll,17,17,0,1
26,Sushi,Red Dragon Roll,18,What is the price of Red Dragon Roll?,$18 — Sushi,Red Dragon Roll 18 — Sushi locked in the drop,PASS,red_dragon_roll,18,18,0,1
27,Sushi,Black Pearl Roll,22,What is the price of Black Pearl Roll?,$22 — Sushi,Black Pearl Roll 22 — Sushi locked in the drop,PASS,black_pearl_roll,22,22,0,1
28,For The Table,Smoked Fish Dip,18,What is the price of Smoked Fish Dip?,$18 — For The Table,Smoked Fish Dip 18 — For The Table locked in the drop,PASS,smoked_fish_dip,18,18,0,1
29,For The Table,U-Peel 'Em Shrimp 1/4 lb,12,What is the price of U-Peel 'Em Shrimp 1/4 lb?,$12 — For The Table,U-Peel 'Em Shrimp 1/4 lb 12 — For The Table locked in the drop,PASS,u-peel_em_shrimp_1_4_lb,12,12,0,1.04
30,For The Table,U-Peel 'Em Shrimp 1/2 lb,21,What is the price of U-Peel 'Em Shrimp 1/2 lb?,$21 — For The Table,U-Peel 'Em Shrimp 1/2 lb 21 — For The Table locked in the drop,PASS,u-peel_em_shrimp_1_2_lb,21,21,0,1.04
31,For The Table,Classic Shrimp Cocktail,18,What is the price of Classic Shrimp Cocktail?,$18 — For The Table,Classic Shrimp Cocktail 18 — For The Table locked in the drop,PASS,classic_shrimp_cocktail,18,18,0,1
32,For The Table,Shrimp Campechana,12,What is the price of Shrimp Campechana?,$12 — For The Table,Shrimp Campechana 12 — For The Table locked in the drop,PASS,shrimp_campechana,12,12,0,1
33,For The Table,Waterstreet Tower,85,What is the price of Waterstreet Tower?,$85 — For The Table,Waterstreet Tower 85 — For The Table locked in the drop,PASS,waterstreet_tower,85,85,0,1
34,Oysters,Raw Gulf Oysters 1/2 doz,18,What is the price of Raw Gulf Oysters 1/2 doz?,$18 — Oysters,Raw Gulf Oysters 1/2 doz 18 — Oysters locked in the drop,PASS,raw_gulf_oysters_1_2_doz,18,18,0,1
35,Oysters,Raw Gulf Oysters doz,36,What is the price of Raw Gulf Oysters doz?,$36 — Oysters,Raw Gulf Oysters doz 36 — Oysters locked in the drop,PASS,raw_gulf_oysters_doz,36,36,0,1
36,Oysters,Oysters Rockefeller,23,What is the price of Oysters Rockefeller?,$23 — Oysters,Oysters Rockefeller 23 — Oysters locked in the drop,PASS,oysters_rockefeller,23,23,0,1
37,Oysters,Wood Fired Oysters,20,What is the price of Wood Fired Oysters?,$20 — Oysters,Wood Fired Oysters 20 — Oysters locked in the drop,PASS,wood_fired_oysters,20,20,0,1
38,Oysters,Broiled Oysters Bleu,22,What is the price of Broiled Oysters Bleu?,$22 — Oysters,Broiled Oysters Bleu 22 — Oysters locked in the drop,PASS,broiled_oysters_bleu,22,22,0,1
39,Appetizers,Shrimp Picayune,18,What is the price of Shrimp Picayune?,$18 — Appetizers,Shrimp Picayune 18 — Appetizers locked in the drop,PASS,shrimp_picayune,18,18,0,1
40,Appetizers,Blue Crab Mushrooms,18,What is the price of Blue Crab Mushrooms?,$18 — Appetizers,Blue Crab Mushrooms 18 — Appetizers locked in the drop,PASS,blue_crab_mushrooms,18,18,0,1
41,Appetizers,Spinach Artichoke Dip,13,What is the price of Spinach Artichoke Dip?,$13 — Appetizers,Spinach Artichoke Dip 13 — Appetizers locked in the drop,PASS,spinach_artichoke_dip,13,13,0,1
42,Appetizers,Shrimp Enbrochette,28,What is the price of Shrimp Enbrochette?,$28 — Appetizers,Shrimp Enbrochette 28 — Appetizers locked in the drop,PASS,shrimp_enbrochette,28,28,0,1
43,Appetizers,Creole Hushpuppies,9,What is the price of Creole Hushpuppies?,$9 — Appetizers,Creole Hushpuppies 9 — Appetizers locked in the drop,PASS,creole_hushpuppies,9,9,0,1
44,Appetizers,Fried Crawfish Tails,13,What is the price of Fried Crawfish Tails?,$13 — Appetizers,Fried Crawfish Tails 13 — Appetizers locked in the drop,PASS,fried_crawfish_tails,13,13,0,1
45,Appetizers,Crispy Calamari,16,What is the price of Crispy Calamari?,$16 — Appetizers,Crispy Calamari 16 — Appetizers locked in the drop,PASS,crispy_calamari,16,16,0,1
46,Appetizers,Crab Cakes,27,What is the price of Crab Cakes?,$27 — Appetizers,Crab Cakes 27 — Appetizers locked in the drop,PASS,crab_cakes,27,27,0,1
47,Appetizers,Pecan Crusted Oysters,16,What is the price of Pecan Crusted Oysters?,$16 — Appetizers,Pecan Crusted Oysters 16 — Appetizers locked in the drop,PASS,pecan_crusted_oysters,16,16,0,1
48,Appetizers,Southern Fried Okra,11,What is the price of Southern Fried Okra?,$11 — Appetizers,Southern Fried Okra 11 — Appetizers locked in the drop,PASS,southern_fried_okra,11,11,0,1
49,Soups & Salads,Starter Salads,6,What is the price of Starter Salads?,$6 — Soups & Salads,Starter Salads 6 — Soups & Salads locked in the drop,PASS,starter_salads,6,6,0,1
50,Soups & Salads,Caldo Xochitl,9,What is the price of Caldo Xochitl?,$9 — Soups & Salads,Caldo Xochitl 9 — Soups & Salads locked in the drop,PASS,caldo_xochitl,9,9,0,1
