Front,Back,Category,Difficulty
Where is Clear Water from?,"Port Aransas, TX (oyster)",menu,easy
Where is Key Allegro from?,"Aransas Bay, TX (oyster)",menu,easy
Where is Blackjack Point from?,"Aransas Bay, TX (oyster)",menu,easy
Where is Big Tree from?,"Rockport, TX (oyster)",menu,easy
Where is Three Sisters from?,"Port Lavaca, TX (oyster)",menu,easy
Where is Oyster Bros from?,"Palacios, TX (oyster)",menu,easy
Where is Barnstable from?,"Cape Cod, MA (oyster)",menu,easy
Where is Great White from?,"Cape Cod, MA (oyster)",menu,easy
Where is Beausoleil from?,New Brunswick (oyster),menu,easy
Where is Sex on the Bay from?,New Brunswick (oyster),menu,easy
Where is Cupid's Choice from?,Prince Edward Island (oyster),menu,easy
Where is Savage Blonde from?,Prince Edward Island (oyster),menu,easy
Where is Momma Mia from?,Prince Edward Island (oyster),menu,easy
Where is Pink Moon from?,Prince Edward Island (oyster),menu,easy
Happy hour time?,Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer,menu,easy
Eggs Benedict,"$16 — brunch | 2 english muffins, poached eggs, canadian bacon, homemade hollandaise",menu,medium
Eggs Orleans,"$20 — brunch | 2 english muffins, lump blue crab cakes, poached eggs, homemade hollandaise",menu,medium
Eggs Sardou,"$17 — brunch | 2 english muffins, bacon, spinach, artichoke hearts, poached eggs, hollandaise",menu,medium
Eggs Sonesta,"$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise",menu,medium
Pain Perdu,"$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup",menu,medium
Ham & Cheese Omelet,"$17 — brunch | three-egg omelet, sautéed ham and cheese",menu,medium
Bloody Mary,"$12 — brunch_cocktails | vodka, house made bloody mary mix",menu,easy
Salty Dog,"$11 — brunch_cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit",menu,easy
Pear Martini,"$12 — brunch_cocktails | vodka, amaretto, cherry",menu,easy
Cucumber Martini,"$12 — brunch_cocktails | vodka, cucumber, lime",menu,easy
Hugo Spritz,"$14 — brunch_cocktails | st germain, prosecco, mint",menu,easy
Aperol Spritz,"$13 — brunch_cocktails | orange liqueur, prosecco, soda",menu,easy
French 75,"$14 — brunch_cocktails | cognac, champagne, lemon",menu,easy
Mimosa Flight,$22 — brunch_cocktails | house specialty,menu,medium
Avocado Roll,"$8 — sushi | avocado, cream cheese, cucumber",menu,easy
Tempura Shrimp Roll,"$9 — sushi | tempura shrimp, cucumber, avocado, crunchies",menu,easy
Spicy Tuna Roll,"$10 — sushi | spicy tuna mix, cucumber, spicy mayo",menu,easy
Tuna Roll,"$12 — sushi | yellowfin tuna, toasted sesame seeds, futomaki style",menu,easy
Spicy Salmon Roll,"$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha",menu,easy
Padre Island Roll,"$13 — sushi | shrimp, mango, cucumber, roasted red bell pepper, toasted coconut, cilantro",menu,easy
Lucky Roll,"$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce",menu,easy
Spider Roll,"$15 — sushi | soft shell crab, carrot, green leaf, cucumber, avocado, eel sauce",menu,medium
Tidal Wave Roll,"$16 — sushi | shrimp, salmon, escolar, cream cheese, mango, topped avocado, spicy mayo, crunchies",menu,medium
Rainbow Roll,"$17 — sushi | california roll topped with tuna, hamachi, avocado",menu,medium
Dragon Roll,"$17 — sushi | california roll, cream cheese, eel, avocado, eel sauce",menu,medium
Red Dragon Roll,"$18 — sushi | spicy tuna mix, cucumber, jalapeño, yellowfin tuna, avocado",menu,medium
Black Pearl Roll,"$22 — sushi | blackened tuna, carrots, cucumber, avocado, topped with tempura fried oysters, spicy mayo, green onion",menu,medium
Raw Gulf Oysters (half dozen),$18 — oysters_raw,menu,medium
Raw Gulf Oysters (dozen),$36 — oysters_raw,menu,hard
Oysters Rockefeller,"$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese",menu,medium
Wood Fired Oysters,"$20 — oysters_prepared | smoky paprika butter, fried saltines",menu,medium
Broiled Oysters Bleu,"$22 — oysters_prepared | green onion vinaigrette, bleu cheese crumbles",menu,medium
Smoked Fish Dip,"$18 — for_the_table | smoked trout, pickles, toast points, crackers",menu,medium
U-Peel Em Shrimp 1/4 lb,"$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce",menu,easy
U-Peel Em Shrimp 1/2 lb,"$21 — for_the_table | jumbo gulf browns, house seasonings, red sauce",menu,medium
Classic Shrimp Cocktail,"$18 — for_the_table | gulf boiled shrimp, red sauce, horseradish",menu,medium
Shrimp Campechana,"$12 — for_the_table | olives, cilantro, avocado, red sauce, fried saltines",menu,easy
Waterstreet Tower,$85 — for_the_table | a little bit of everything,menu,hard
Shrimp Picayune,"$18 — appetizers | gulf shrimp, sweet & spicy butter",menu,medium
Blue Crab Mushrooms,"$18 — appetizers | picayune, lemon",menu,medium
Spinach Artichoke Dip,$13 — appetizers | served warm with tortilla chips,menu,easy
Shrimp Enbrochette,"$28 — appetizers | oyster, bacon, tartar",menu,medium
