Word,Category,Opcode_Hex,Opcode_Binary,Bytes,Description,Example,Hebrew_Root,Synapse_1,Weight_1,Synapse_2,Weight_2,Synapse_3,Weight_3,Domain_Map
module,KEYWORD,0x00,00000000,1,Declare module namespace,module math { },מודול,import,0.95,struct,0.82,export,0.78,CHS:a1
import,KEYWORD,0x01,00000001,1,Import external module,import flame::dna,יבא,module,0.95,export,0.88,func,0.72,QNT:import_qubit
export,KEYWORD,0x02,00000010,1,Export public symbol,export func main(),יצא,import,0.88,public,0.82,module,0.78,LQG:export_loop
func,KEYWORD,0x03,00000011,1,Declare function,func add(a b) { },פעל,return,0.92,async,0.81,impl,0.75,RUB:F2L'
let,KEYWORD,0x04,00000100,1,Declare variable,let x = 5,יהי,const,0.89,mut,0.77,type,0.70,PIP:let_offset
const,KEYWORD,0x05,00000101,1,Declare constant,const PI = 3.14,קבע,let,0.89,type,0.80,func,0.68,DNA:ATG-const
return,KEYWORD,0x06,00000110,1,Return from function,return x + y,שוב,func,0.92,yield,0.85,async,0.73,FLM:return_wave
if,KEYWORD,0x07,00000111,1,Conditional branch,if x > 0 { },אם,else,0.96,match,0.83,while,0.70,QNT:if_measure
else,KEYWORD,0x08,00001000,1,Alternative branch,else { },אחרת,if,0.96,where,0.74,match,0.68,LQG:else_bounce
match,KEYWORD,0x09,00001001,1,Pattern matching,match x { },התאם,if,0.83,enum,0.79,where,0.72,CHS:match_ply
for,KEYWORD,0x0A,00001010,1,For loop,for i in 0..10 { },לכל,while,0.87,in,0.91,..,0.75,RUB:for_cycle
while,KEYWORD,0x0B,00001011,1,While loop,while x < 10 { },בעוד,for,0.87,await,0.72,if,0.70,PIP:while_flow
in,KEYWORD,0x0C,00001100,1,Containment test,for x in list,ב,for,0.91,is,0.78,match,0.70,DNA:in_sequence
type,KEYWORD,0x0D,00001101,1,Type alias,type ID = Int,סוג,const,0.80,struct,0.84,trait,0.76,FLM:type_transform
struct,KEYWORD,0x0E,00001110,1,Structure definition,struct Point { },מבנה,type,0.84,impl,0.88,module,0.82,QNT:struct_state
enum,KEYWORD,0x0F,00001111,1,Enumeration,enum Color { },מנה,match,0.79,trait,0.82,type,0.74,LQG:enum_loop
trait,KEYWORD,0x10,00010000,1,Trait/interface,trait Drawable { },תכונה,enum,0.82,impl,0.90,struct,0.75,CHS:trait_eval
